gene	gene_name	transcript_id	pvalue	fdr	rrm_p_interaction	rrm_adj_p_interaction	q_value
ENSG00000196591.13	HDAC2	ENST00000916849.1	0.967	1	6.18559513741788e-09	4.32991659619251e-07	0_00
ENSG00000169093.17	ASMTL	ENST00000381317.9	1	1	5.95269550122516e-07	4.04783294083311e-05	0_00
ENSG00000169093.17	ASMTL	ENST00000474865.6	0.658	1	5.95269550122516e-07	4.04783294083311e-05	0_00
ENSG00000205268.12	PDE7A	ENST00000396642.7	0.665	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000205268.12	PDE7A	ENST00000401827.8	0.665	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000205268.12	PDE7A	ENST00000522220.1	0.665	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000205268.12	PDE7A	ENST00000523253.1	0.443	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000205268.12	PDE7A	ENST00000935328.1	0.589	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000205268.12	PDE7A	ENST00000935331.1	0.776	1	5.92661768722929e-06	0.000385230149669904	0_00
ENSG00000154096.15	THY1	ENST00000524970.5	0.92	1	1.44320490116056e-13	1.06797162685882e-11	0_00
ENSG00000154096.15	THY1	ENST00000900758.1	0.998	1	1.44320490116056e-13	1.06797162685882e-11	0_00
ENSG00000154096.15	THY1	ENST00000956364.1	1	1	1.44320490116056e-13	1.06797162685882e-11	0_00
ENSG00000247092.10	SNHG10	ENST00000554169.4	0.899	1	1.48762916615637e-14	1.11572187461728e-12	0_00
ENSG00000247092.10	SNHG10	ENST00000660378.4	0.899	1	1.48762916615637e-14	1.11572187461728e-12	0_00
ENSG00000247092.10	SNHG10	ENST00000667668.2	0.643	1	1.48762916615637e-14	1.11572187461728e-12	0_00
ENSG00000247092.10	SNHG10	ENST00000685307.3	0.643	1	1.48762916615637e-14	1.11572187461728e-12	0_00
ENSG00000068305.20	MEF2A	ENST00000559036.5	0.947	1	1.36349348101126e-06	9.13540632277541e-05	0_00
ENSG00000068305.20	MEF2A	ENST00000889128.1	0.752	1	1.36349348101126e-06	9.13540632277541e-05	0_00
ENSG00000068305.20	MEF2A	ENST00000889134.1	0.449	1	1.36349348101126e-06	9.13540632277541e-05	0_00
ENSG00000068305.20	MEF2A	ENST00000889162.1	0.752	1	1.36349348101126e-06	9.13540632277541e-05	0_00
ENSG00000068305.20	MEF2A	ENST00000928335.1	0.752	1	1.36349348101126e-06	9.13540632277541e-05	0_00
ENSG00000274322.1	ENSG00000274322	ENST00000617804.1	0.644	1	3.04862066556683e-07	2.10354825924111e-05	0_00
ENSG00000274322.1	ENSG00000274322	ENST00000618770.1	1	1	3.04862066556683e-07	2.10354825924111e-05	0_00
ENSG00000105173.15	CCNE1	ENST00000262643.8	0.679	1	2.15598167438889e-06	0.000142294790509667	0_50
ENSG00000105173.15	CCNE1	ENST00000357943.9	0.146	1	2.15598167438889e-06	0.000142294790509667	0_50
ENSG00000105173.15	CCNE1	ENST00000574121.1	0.0840840840840841	0.994994994994995	2.15598167438889e-06	0.000142294790509667	0_50
ENSG00000105173.15	CCNE1	ENST00000586912.1	0.297	1	2.15598167438889e-06	0.000142294790509667	0_50
ENSG00000163611.12	SPICE1	ENST00000295872.8	0.97	1	5.48360161540183e-09	3.8933571469353e-07	0_50
ENSG00000163611.12	SPICE1	ENST00000460832.1	0.995	1	5.48360161540183e-09	3.8933571469353e-07	0_50
ENSG00000163611.12	SPICE1	ENST00000496105.1	0.046	0.6532	5.48360161540183e-09	3.8933571469353e-07	0_50
ENSG00000163611.12	SPICE1	ENST00000496859.1	0.146	1	5.48360161540183e-09	3.8933571469353e-07	0_50
ENSG00000130731.17	METTL26	ENST00000301686.13	0.594	1	5.16577748211313e-05	0.00320601708628249	0_50
