	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
32	TM7SF2	10	0.673826655232647	0.731511644859781	0.999999997545169	14114.15	325830.75	9	150	0.00802453390330638	Robust across q	art_unpaired	FALSE	FALSE	FALSE
33	POLR2J4	10	0.190497902212743	0.99487354025719	0.999999997545169	4002	326792.75	9	150	0.00788126938452856	Robust across q	art_unpaired	FALSE	FALSE	FALSE
34	ENSG00000254706	10	0.169012903803277	0.996754835764568	0.999999997545169	3614.65000000002	332684	9	150	0.00679804863944148	Robust across q	art_unpaired	FALSE	FALSE	FALSE
35	CYBB	10	0.533602775678254	0.848123371666989	0.999999997545169	10835.6	315878.75	9	150	0.0066619121949166	Robust across q	art_unpaired	FALSE	FALSE	FALSE
36	EXOC1	10	0.555639420669955	0.831228410496529	0.999999997545169	11712.75	327907.5	9	150	0.0066377776891565	Robust across q	art_unpaired	FALSE	FALSE	FALSE
37	ASMTL	10	0.943167911905874	0.490012845610044	0.999999997545169	19321.625	318669.25	9	150	0.00544691277105753	Robust across q	art_unpaired	FALSE	FALSE	FALSE
38	DNAJC24	10	0.337975521102045	0.960878723080477	0.999999997545169	7246.84999999998	333541.25	9	150	0.00531293771113416	Robust across q	art_unpaired	FALSE	FALSE	FALSE
39	PPP1R2	10	0.179783042555412	0.995886053170269	0.999999997545169	3889	336492	9	150	0.00520302870837521	Robust across q	art_unpaired	FALSE	FALSE	FALSE
40	IRF3	10	0.121633905153523	0.999115478825113	0.999999997545169	2628	336090.5	9	150	0.00480076470349816	Robust across q	art_unpaired	FALSE	FALSE	FALSE
41	ZNF710	10	0.107622898435801	0.999461913671576	0.999999997545169	2335.375	337549.5	9	150	0.00414543886919462	Robust across q	art_unpaired	FALSE	FALSE	FALSE
42	THOC6	10	0.507149425099181	0.86746976938905	0.999999997545169	10621.1	325776	9	150	0.00394360310638313	Robust across q	art_unpaired	FALSE	FALSE	FALSE
43	LINC02362	10	0.0899298189419056	0.999743322651241	0.999999997545169	1955.27500000002	338212.5	9	150	0.00383144271924328	Robust across q	art_unpaired	FALSE	FALSE	FALSE
