q_0	q_0.222222222222222	q_0.444444444444444	q_0.666666666666667	q_0.888888888888889	q_1.11111111111111	q_1.33333333333333	q_1.55555555555556	q_1.77777777777778	q_2
THOC6	0	0.00474650023441552	0.00977597486223303	0.0151135810137879	0.0207867847138969	0.0268255862191611	0.0332627681693425	0.0401341689322589	0.0474789837756344	0.0553400967812641
POLR2J4	0	0.00101840732141824	0.00204299424780927	0.00307418417083494	0.00411240665571266	0.00515809771889319	0.00621170011154493	0.00727366360920128	0.00834444530763696	0.00942450992532584
SYNM	0	4.13510257135652e-06	8.2649156896375e-06	1.23894507539912e-05	1.65087191407176e-05	2.06227322059327e-05	2.47315012742444e-05	2.88350376556057e-05	3.29333526332766e-05	3.70264574673929e-05
SPNS2	0	3.53923889518461e-05	7.10282551470876e-05	0.000106909768613939	0.000143039119687827	0.000179418519205665	0.000216050198714068	0.000252936410665861	0.000290079428623294	0.00032748154747031
SRPRA	1.11022302462516e-16	0.000160483147006309	0.000326863641874353	0.000499397177292526	0.000678351480708383	0.0008640069140462	0.00105665710463909	0.00125660960904308	0.0014641866115159	0.00167972565903707
PNRC2	0	0	0	0	0	0	0	0	0	0
LINC03040	0	0.00551149333004104	0.0109933127028487	0.0164536699966411	0.0219006496605309	0.0273422266948158	0.0327862841630509	0.0382406302826808	0.0437130151392529	0.0492111470678323
RAP1GDS1	0	0.0123078645507981	0.0235091911141846	0.0337583675729045	0.0431880134390864	0.0519122630097839	0.0600295382029796	0.0676248924364529	0.074771993703315	0.0815348039654085
ZNF493	0	0.00503433169619985	0.0101845550153325	0.0154652537488783	0.0208918524793988	0.0264806928355445	0.03224911552777	0.0382155486623122	0.044399602872245	0.0508221738493941
VRK2	2.22044604925031e-16	0.00465814028384591	0.00928360306809273	0.0138875826166006	0.0184809153834132	0.0230741327897836	0.02767751068836	0.0323011158774582	0.0369548499984825	0.0416484911227695
