q	central	spread	count
0	1	0.2	1207
0.222222222222222	0.850599790267874	0.205759734220031	1207
0.444444444444444	0.801412926181626	0.254453650761507	1207
0.666666666666667	0.773549104432589	0.28750698519871	1207
0.888888888888889	0.757804481551632	0.313882178939057	1207
1.11111111111111	0.754914048217908	0.33519871798842	1207
1.33333333333333	0.761591273938189	0.354408896057752	1207
1.55555555555556	0.772684919334726	0.369313718440855	1207
1.77777777777778	0.785391302908706	0.372430669860731	1207
2	0.79929846066844	0.385296620507575	1207
