	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
13	SPICE1	2.04657095526084e-05	2.04657095526084e-05	160	16	160	NA	8.86802092922244	0.562370337815001	138	TRUE	0.0184410053002975	FALSE	FALSE	Gaussian	TRUE	3.72575313265648	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.40996026209767e-12	FALSE	160	TRUE	0.00130980541136694	ENSG00000163611.12	SPICE1
14	PDE7A	3.14512385346521e-05	3.14512385346521e-05	160	16	160	NA	8.51499622208948	0.0567730762093038	138	TRUE	-0.0290734464470253	FALSE	FALSE	Gaussian	TRUE	4.69250018070322	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.00426969545886344	FALSE	160	TRUE	0.00198142802768309	ENSG00000205268.12	PDE7A
15	TMEM183A	4.23793232766645e-05	4.23793232766645e-05	160	16	160	NA	8.27102347444534	0.191501719391172	138	TRUE	0.0466302310829029	FALSE	FALSE	Gaussian	FALSE	4.28440746508584	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	9.76075049653022e-08	FALSE	160	FALSE	0.0026275180431532	ENSG00000163444.13	TMEM183A
16	ETFRF1	6.57786403313043e-05	6.57786403313043e-05	160	16	160	NA	7.91288460243115	0.6782709350584	138	TRUE	0.0661359762170379	FALSE	FALSE	Gaussian	FALSE	8.91454981271835	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	5.05545213956673e-08	FALSE	160	FALSE	0.00401249706020956	ENSG00000205707.12	ETFRF1
17	FAM114A2	0.000108988416803069	0.000108988416803069	160	16	160	NA	7.50371889670027	0.388165620976319	138	TRUE	0.0321459210562801	FALSE	FALSE	Gaussian	TRUE	4.15202116022123	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	5.78090911086871e-08	FALSE	160	TRUE	0.00649596839371469	ENSG00000055147.20	FAM114A2
18	EXOC1	0.000110101159215503	0.000110101159215503	160	16	160	NA	7.49551110188972	0.0720012381668196	138	TRUE	-0.0520347664870769	FALSE	FALSE	Gaussian	FALSE	4.75887691734007	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	0.000243192904642388	FALSE	160	FALSE	0.00649596839371469	ENSG00000090989.19	EXOC1
19	SPNS2	0.000154089192616502	0.000154089192616502	160	16	160	NA	7.2244192419725	0.0528232338295256	138	TRUE	-0.097211694483943	FALSE	FALSE	Gaussian	TRUE	2.62752971335007	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.6785354207451e-06	FALSE	160	TRUE	0.00893717317175713	ENSG00000183018.10	SPNS2
20	NPY1R	0.000318409480256188	0.000318409480256188	160	16	160	NA	6.64231285528892	0.173390403123088	138	TRUE	0.0543089778314378	FALSE	FALSE	Gaussian	TRUE	1.57207302887223	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	5.84871418791429e-11	FALSE	160	TRUE	0.0181493403746027	ENSG00000164128.8	NPY1R
21	MCOLN1	0.000553418959399088	0.000553418959399088	160	16	160	NA	6.20180602272453	0.475137634675928	138	TRUE	0.0740206608047841	FALSE	FALSE	Gaussian	FALSE	1.41493171520585	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.233290673885e-11	FALSE	160	FALSE	0.0309914617263489	ENSG00000090674.17	MCOLN1
22	SRP72	0.000923548413634956	0.000923548413634956	160	16	160	NA	5.79572974357762	0.21066988630421	138	TRUE	-0.0231169197041837	FALSE	FALSE	Gaussian	FALSE	1.1227714876073	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	1.8020267041681e-09	FALSE	160	FALSE	0.0507951627499226	ENSG00000174780.18	SRP72
