	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
67	PICALM	0.698979173964333	0.698979173964333	160	16	160	NA	0.47674968089611	0.226008376455945	138	TRUE	0.000953866117362367	FALSE	FALSE	Gaussian	TRUE	5.35526024600573	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.04313090143227e-06	FALSE	160	TRUE	0.983035972339837	ENSG00000073921.19	PICALM
68	SLC9A7	0.701155802732133	0.701155802732133	160	16	160	NA	0.473623061201954	0.0869690275540107	138	TRUE	0.0164779418094844	FALSE	FALSE	Gaussian	FALSE	1.85528482293665	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	4.84483963224237e-07	FALSE	160	FALSE	0.983035972339837	ENSG00000065923.11	SLC9A7
69	GIPR	0.749231024216562	0.749231024216562	160	16	160	NA	0.00755670482763016	0.138400017442266	135.999999998134	TRUE	0.0232558366401611	FALSE	FALSE	Gaussian	FALSE	1	mgcv::gamm	gam_independence	4	none	anova_Chisq	none	9.16212280707456e-12	FALSE	140	FALSE	0.983035972339837	ENSG00000010310.10	GIPR
70	ZFP90	0.864646017757808	0.864646017757808	160	16	160	NA	0.245185175665161	0.222747170035528	138	TRUE	0.0105778038147894	FALSE	FALSE	Gaussian	FALSE	1.93022364822866	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	6.79664037176217e-11	FALSE	160	FALSE	0.983035972339837	ENSG00000184939.16	ZFP90
71	FOXJ2	0.898144128911562	0.898144128911562	160	16	160	NA	0.197215358618436	0.231605854643093	138	TRUE	0.00999360197743315	FALSE	FALSE	Gaussian	TRUE	1.47132004299559	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.46225101156624e-05	FALSE	160	TRUE	0.983035972339837	ENSG00000065970.10	FOXJ2
72	PBX2	0.908419459493774	0.908419459493774	160	16	160	NA	0.182083111559957	0.0752538712193902	138	TRUE	0.0032285421119807	FALSE	FALSE	Gaussian	FALSE	1.92034812420475	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	6.12127526391323e-08	FALSE	160	FALSE	0.983035972339837	ENSG00000204304.12	PBX2
73	SYNM	0.956928334810077	0.956928334810077	160	16	160	NA	0.000548466856994168	0.000197330943286964	155.999999999387	TRUE	-0.00580052813926496	FALSE	FALSE	Gaussian	FALSE	1.03596811474261	mgcv::gamm	gam_independence	4	none	anova_Chisq	none	7.04839577079887e-20	FALSE	160	FALSE	0.983035972339837	ENSG00000182253.15	SYNM
74	MCC	0.972086102447863	0.972086102447863	160	16	160	NA	0.0774675366739218	0.590951951507759	138	TRUE	0.0130136959158856	FALSE	FALSE	Gaussian	FALSE	424.546229086666	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.81251307896227e-19	FALSE	160	FALSE	0.983035972339837	ENSG00000171444.19	MCC
75	PMEPA1	0.973715109921005	0.973715109921005	160	16	160	NA	0.0742803503208904	0.324172239217868	138	TRUE	0.00616496015158841	FALSE	FALSE	Gaussian	FALSE	1435.77854715464	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	7.95917181717655e-16	FALSE	160	FALSE	0.983035972339837	ENSG00000124225.16	PMEPA1
76	RELCH	0.983035972339837	0.983035972339837	160	16	160	NA	0.0548242891172106	0.102915332639184	138	TRUE	0.00275356132030752	FALSE	FALSE	Gaussian	TRUE	8.99828063321649	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.23451981060107e-07	FALSE	160	TRUE	0.983035972339837	ENSG00000134444.16	RELCH
