gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
17	SRP72	2.74229492343473e-36	2.74229492343473e-36	648	8	3.89016375972434	0.35	163.768536429297	0.350451531038951	640.116682147719	TRUE	0.118436678386328	TRUE	FALSE	Gaussian	FALSE	2.10246232243725	mgcv::gamm_arima(1,1,0)	7.74549466486479e-07	FALSE	648	FALSE	1.94702939563866e-34	ENSG00000174780.18	SRP72
18	THY1	1.14709637634158e-35	1.14709637634158e-35	648	8	3.89016375972434	0.35	160.90648879093	0.209415807365381	640.034889666939	TRUE	0.224302959488488	TRUE	FALSE	Gaussian	TRUE	5.76027929209057	mgcv::gamm_arima(1,1,0)	0.00459596758414188	FALSE	648	FALSE	8.02967463439104e-34	ENSG00000154096.15	THY1
19	CXCL12	7.05638648133064e-35	7.05638648133064e-35	648	8	3.89016375972434	0.35	157.273090328312	0.834199022415812	640.078355805308	TRUE	-0.340386969500461	TRUE	FALSE	Gaussian	TRUE	7.72672556536354	mgcv::gamm_arima(1,1,0)	9.01951464535693e-05	FALSE	648	FALSE	4.86890667211814e-33	ENSG00000107562.18	CXCL12
20	ING3	3.7940376014012e-33	3.7940376014012e-33	648	8	3.89016375972434	0.35	149.303754573171	0.374584828158859	640.140259992881	TRUE	0.122542075951656	TRUE	FALSE	Gaussian	TRUE	1.90647021806405	mgcv::gamm_arima(1,1,0)	0.000660990659481361	FALSE	648	FALSE	2.57994556895281e-31	ENSG00000071243.17	ING3
21	THOC6	3.79926893165599e-32	3.79926893165599e-32	648	8	3.89016375972434	0.35	144.695828627984	0.0853752762237011	640.084350767237	TRUE	0.194275818590853	TRUE	FALSE	Gaussian	TRUE	2.14677233811365	mgcv::gamm_arima(1,1,0)	0.0146573175103217	FALSE	648	FALSE	2.54551018420952e-30	ENSG00000131652.15	THOC6
22	VRK2	1.76895897225187e-31	1.76895897225187e-31	648	8	3.89016375972434	0.35	141.619493321057	0.0708277349128018	641.10987048754	TRUE	0.0433856987199038	TRUE	FALSE	Gaussian	TRUE	3.4041104366638	mgcv::gamm_arima(1,1,0)	7.34051415974118e-12	FALSE	648	FALSE	1.16751292168623e-29	ENSG00000028116.19	VRK2
23	MEF2A	3.98520104981104e-30	3.98520104981104e-30	648	8	3.89016375972434	0.35	135.389930054411	0.240357394071948	640.107908523671	TRUE	-0.128122533571235	TRUE	FALSE	Gaussian	TRUE	5.07851720199228	mgcv::gamm_arima(1,1,0)	2.2947135395596e-07	FALSE	648	FALSE	2.59038068237718e-28	ENSG00000068305.20	MEF2A
24	GIPR	1.75885150470949e-28	1.75885150470949e-28	566	8	3.89577754472422	0.35	127.815443123863	0.544165068077886	559.866778915353	TRUE	-0.211607219465241	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	2.26050508878731e-06	FALSE	566	FALSE	1.12566496301407e-26	ENSG00000010310.10	GIPR
25	SPNS2	6.93350652029357e-28	6.93350652029357e-28	648	8	3.89016375972434	0.35	125.072033854435	-0.00352478877350237	640.325415421758	TRUE	0.123206767365647	TRUE	FALSE	Gaussian	TRUE	1.37058176879817	mgcv::gamm_arima(1,1,0)	2.49921440969842e-17	FALSE	648	FALSE	4.36810910778495e-26	ENSG00000183018.10	SPNS2
26	GLB1L2	4.76620241866533e-27	4.76620241866533e-27	648	8	3.89016375972434	0.35	121.21649532334	0.0912727785731973	640.188660050952	TRUE	0.177160666134071	TRUE	FALSE	Gaussian	TRUE	4.22207137076671	mgcv::gamm_arima(1,1,0)	8.39811294558361e-07	FALSE	648	FALSE	2.9550454995725e-25	ENSG00000149328.17	GLB1L2
27	REG3A	1.17261820098333e-26	1.17261820098333e-26	484	8	3.90331893774904	0.35	119.41594678103	0.00123478001852684	478.712521917783	TRUE	-0.010332320611876	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	5.88559948568156e-20	FALSE	484	FALSE	7.15297102599833e-25	ENSG00000172016.16	REG3A
28	MCOLN1	1.01383731269943e-25	1.01383731269943e-25	648	8	3.89016375972434	0.35	115.101769747358	0.0194410713195183	640.218409742747	TRUE	-0.150948211051737	TRUE	FALSE	Gaussian	TRUE	1.95762502739314	mgcv::gamm_arima(1,1,0)	2.3158964914044e-13	FALSE	648	FALSE	6.0830238761966e-24	ENSG00000090674.17	MCOLN1
29	HDAC2	9.12076302099114e-24	9.12076302099114e-24	648	8	3.89016375972434	0.35	106.102977533376	0.611334376437836	640.087974037315	TRUE	0.0780387940141522	TRUE	FALSE	Gaussian	TRUE	1.35531459370863	mgcv::gamm_arima(1,1,0)	1.44195016476671e-07	FALSE	648	FALSE	5.38125018238477e-22	ENSG00000196591.13	HDAC2
30	ZNF493	1.89656341680597e-23	1.89656341680597e-23	648	8	3.89016375972434	0.35	104.638827236822	0.0625352389201171	642.004243588293	TRUE	-0.00310972557840828	TRUE	FALSE	Gaussian	TRUE	8.18455849035398	mgcv::gamm_arima(1,1,0)	7.27607363562216e-07	FALSE	648	FALSE	1.10000678174747e-21	ENSG00000196268.12	ZNF493
31	ANGEL2	3.45221709147953e-20	3.45221709147953e-20	648	8	3.89016375972434	0.35	89.6253704000555	0.15859756725893	642.004488549479	TRUE	0.0176548097436305	TRUE	FALSE	Gaussian	FALSE	1.91485385353506	mgcv::gamm_arima(1,1,0)	1.00032670801992e-17	FALSE	648	FALSE	1.96776374214333e-18	ENSG00000174606.15	ANGEL2
32	FOXJ2	2.3529758272086e-19	2.3529758272086e-19	648	8	3.89016375972434	0.35	85.7868718607479	0.245572814864143	642.060927652609	TRUE	-0.096899707084602	TRUE	FALSE	Gaussian	FALSE	4.69160914949586	mgcv::gamm_arima(1,1,0)	0.00010898689955354	FALSE	648	FALSE	1.31766646323682e-17	ENSG00000065970.10	FOXJ2
33	PNRC2	4.43263612042514e-17	4.43263612042514e-17	648	8	3.89016375972434	0.35	75.3099042255526	0.117496649142775	641.773691190957	TRUE	0.00602518322847527	TRUE	FALSE	Gaussian	TRUE	11.1721934201398	mgcv::gamm_arima(1,1,0)	8.84247735212896e-16	FALSE	648	FALSE	2.43794986623383e-15	ENSG00000189266.14	PNRC2
34	RRAGC	1.21498253186927e-15	1.21498253186927e-15	648	8	3.89016375972434	0.35	68.6880933905677	0.10204885534872	640.173325702553	TRUE	0.133400612426451	TRUE	FALSE	Gaussian	TRUE	2.54325256661974	mgcv::gamm_arima(1,1,0)	0.000130390635535431	FALSE	648	FALSE	6.56090567209408e-14	ENSG00000116954.9	RRAGC
35	EXOC1	1.7308995329375e-15	1.7308995329375e-15	648	8	3.89016375972434	0.35	67.9802703205969	0.13165644756462	642.007014780305	TRUE	0.0266039855160932	TRUE	FALSE	Gaussian	FALSE	2.48720544370142	mgcv::gamm_arima(1,1,0)	2.28134064689486e-07	FALSE	648	FALSE	9.17376752456876e-14	ENSG00000090989.19	EXOC1
36	PICALM	5.44460003313498e-15	5.44460003313498e-15	648	8	3.89016375972434	0.35	65.68830419406	0.0440680285590799	640.097033943749	TRUE	0.0478693450883296	TRUE	FALSE	Gaussian	TRUE	2.11202228866119	mgcv::gamm_arima(1,1,0)	0.00138517942239303	FALSE	648	FALSE	2.83119201723019e-13	ENSG00000073921.19	PICALM
37	HIGD1A	8.14574098596202e-15	8.14574098596202e-15	648	8	3.89016375972434	0.35	64.8825623653183	0.375817710428447	640.340883890812	TRUE	0.0513076470443762	TRUE	FALSE	Gaussian	TRUE	3.13017359222618	mgcv::gamm_arima(1,1,0)	0.000450774861871077	FALSE	648	FALSE	4.15432790284063e-13	ENSG00000181061.15	HIGD1A
38	SPICE1	2.09026384702462e-14	2.09026384702462e-14	648	8	3.89016375972434	0.35	62.9978020026247	0.0121705781286093	642.00635752509	TRUE	-0.0254883166855664	TRUE	FALSE	Gaussian	TRUE	1.8099786690846	mgcv::gamm_arima(1,1,0)	1.93182824243937e-13	FALSE	648	FALSE	1.04513192351231e-12	ENSG00000163611.12	SPICE1
39	ZFP90	3.31021101137112e-13	3.31021101137112e-13	648	8	3.89016375972434	0.35	57.4731885438132	0.120019467299247	642.007760960421	TRUE	0.0437985701587766	TRUE	TRUE	Gamma	TRUE	3.44059740049771	mgcv::gamm_arima(1,1,0)	2.369668786192e-13	FALSE	648	FALSE	1.62200339557185e-11	ENSG00000184939.16	ZFP90
40	GSKIP	3.40407724269899e-13	3.40407724269899e-13	648	8	3.89016375972434	0.35	57.4172646134484	0.359691700818761	640.14544259111	TRUE	0.143885459146267	TRUE	FALSE	Gaussian	TRUE	4.902972890107	mgcv::gamm_arima(1,1,0)	0.000807958633697386	FALSE	648	FALSE	1.63395707649551e-11	ENSG00000100744.16	GSKIP
41	NSA2	7.9854545307062e-13	7.9854545307062e-13	648	8	3.89016375972434	0.35	55.7119690116133	0.00694319402476518	642.011228759778	TRUE	0.0101000333448014	TRUE	FALSE	Gaussian	TRUE	2.63554493634541	mgcv::gamm_arima(1,1,0)	1.81499738328754e-08	FALSE	648	FALSE	3.75316362943191e-11	ENSG00000164346.11	NSA2
42	SPIRE2	2.10211164556075e-12	2.10211164556075e-12	648	8	3.89016375972434	0.35	53.7761574618326	0.241607906415254	642.004769685863	TRUE	0.025899139650148	TRUE	FALSE	Gaussian	TRUE	5.63111615109892	mgcv::gamm_arima(1,1,0)	1.09939018565722e-13	FALSE	648	FALSE	9.66971356957947e-11	ENSG00000204991.12	SPIRE2
43	SH3PXD2A	3.41011254042216e-11	3.41011254042216e-11	648	8	3.89016375972434	0.35	48.2033814582546	0.204899740216111	642.006609542853	TRUE	0.0631100395045883	TRUE	FALSE	Gaussian	TRUE	3.70062765618299	mgcv::gamm_arima(1,1,0)	1.59389563834452e-07	FALSE	648	FALSE	1.53455064318997e-09	ENSG00000107957.17	SH3PXD2A
44	ENSG00000291072	1.97419359353985e-10	1.97419359353985e-10	648	8	3.89016375972434	0.35	44.6913818440717	0.150426477692387	640.340557409755	TRUE	-0.0579128559905438	TRUE	FALSE	Gaussian	TRUE	1.69992527727136	mgcv::gamm_arima(1,1,0)	1.68028081456532e-08	FALSE	648	FALSE	8.68645181157536e-09	ENSG00000291072.2	ENSG00000291072
45	PDE7A	2.33119062974241e-09	2.33119062974241e-09	648	8	3.89016375972434	0.35	39.7537733999907	0.109301501075875	640.060865929565	TRUE	0.1469510678994	TRUE	FALSE	Gaussian	FALSE	1.91685138225394	mgcv::gamm_arima(1,1,0)	1.13612204349018e-09	FALSE	648	FALSE	1.00241197078924e-07	ENSG00000205268.12	PDE7A
46	HIPK2	6.89044175157702e-09	6.89044175157702e-09	648	8	3.89016375972434	0.35	37.5862612781766	0.390907903520769	640.485542024329	TRUE	0.0682540682655272	TRUE	FALSE	Gaussian	TRUE	4.00415922310031	mgcv::gamm_arima(1,1,0)	6.73480828932607e-05	FALSE	648	FALSE	2.89398553566235e-07	ENSG00000064393.17	HIPK2
47	TMEM183A	7.569319451333e-09	7.569319451333e-09	648	8	3.89016375972434	0.35	37.398325348574	0.0015785751209223	640.085069871401	TRUE	0.0396342346833669	TRUE	FALSE	Gaussian	TRUE	1.81791525928547	mgcv::gamm_arima(1,1,0)	3.13227209264258e-13	FALSE	648	FALSE	3.10342097504653e-07	ENSG00000163444.13	TMEM183A
48	ATG5	9.179246436592e-09	9.179246436592e-09	648	8	3.89016375972434	0.35	37.0126414464012	0.0837361630460813	640.235619797942	TRUE	0.102743328243443	TRUE	FALSE	Gaussian	FALSE	3.37532788418494	mgcv::gamm_arima(1,1,0)	4.70041693756105e-07	FALSE	648	FALSE	3.6716985746368e-07	ENSG00000057663.17	ATG5
49	SLC25A16	5.7165087181913e-08	5.7165087181913e-08	648	8	3.89016375972434	0.35	33.3546449777223	0.215541856201103	640.14158926764	TRUE	0.143923515208256	TRUE	FALSE	Gaussian	FALSE	3.94528771400802	mgcv::gamm_arima(1,1,0)	1.39566292117247e-06	FALSE	648	FALSE	2.22943840009461e-06	ENSG00000122912.16	SLC25A16
50	SAR1B	3.34982484718764e-07	3.34982484718764e-07	648	8	3.89016375972434	0.35	29.8183751818196	0.0490390065600989	640.879900877131	TRUE	-0.0663623947247911	TRUE	FALSE	Gaussian	FALSE	3.64274947630654	mgcv::gamm_arima(1,1,0)	5.6818406201344e-07	FALSE	648	FALSE	1.2729334419313e-05	ENSG00000152700.15	SAR1B
51	TLN2	3.67074481563898e-07	3.67074481563898e-07	648	8	3.89016375972434	0.35	29.6354021248844	0.253452060650495	642.011947978234	TRUE	0.0224463649449881	TRUE	FALSE	Gaussian	TRUE	2.491585160075	mgcv::gamm_arima(1,1,0)	2.03351378997748e-10	FALSE	648	FALSE	1.35817558178642e-05	ENSG00000171914.18	TLN2
52	CCDC149	6.80645196446635e-07	6.80645196446635e-07	648	8	3.89016375972434	0.35	28.4004493406319	0.0372434295986215	642.038063283463	TRUE	-0.117782680399153	TRUE	FALSE	Gaussian	TRUE	3.79941032847491	mgcv::gamm_arima(1,1,0)	9.81442311016888e-05	FALSE	648	FALSE	2.45032270720788e-05	ENSG00000181982.21	CCDC149
53	CDH24	1.09042811498739e-06	1.09042811498739e-06	648	8	3.89016375972434	0.35	27.4578803455843	0.36219975894543	640.937473287315	TRUE	0.107881204632644	TRUE	FALSE	Gaussian	TRUE	1.74358285099058	mgcv::gamm_arima(1,1,0)	4.02515050404507e-11	FALSE	648	FALSE	3.81649840245587e-05	ENSG00000139880.21	CDH24
54	SYNM	1.41117434698393e-06	1.41117434698393e-06	648	8	3.89016375972434	0.35	26.9421766600335	0.064510304094117	643.999999416666	TRUE	-0.0121943827582839	TRUE	FALSE	Gaussian	FALSE	1.05788232971573	mgcv::gamm_arima(1,1,0)	8.9044760553894e-26	FALSE	648	FALSE	4.79799277974536e-05	ENSG00000182253.15	SYNM
55	DUOXA2	2.13986567512169e-06	2.13986567512169e-06	566	8	3.89577754472422	0.35	26.1095349990705	0.357723072015118	561.999999792794	TRUE	0.314554904227338	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	6.18386109348246e-12	FALSE	566	FALSE	7.06155672790156e-05	ENSG00000140274.15	DUOXA2
56	GDI1	2.69413188470924e-06	2.69413188470924e-06	648	8	3.89016375972434	0.35	25.6488690523938	0.203047238717954	640.223586409658	TRUE	0.0855039694003765	TRUE	FALSE	Gaussian	TRUE	2.71981894764713	mgcv::gamm_arima(1,1,0)	8.49607827636874e-11	FALSE	648	FALSE	8.62122203106958e-05	ENSG00000203879.13	GDI1
57	KPNA6	8.28404908593674e-06	8.28404908593674e-06	648	8	3.89016375972434	0.35	23.4023573781155	0.223039971787047	641.370987232742	TRUE	-0.173048685663272	TRUE	FALSE	Gaussian	TRUE	131.689394885163	mgcv::gamm_arima(1,1,0)	1.51979420518426e-20	FALSE	648	FALSE	0.000256805521664039	ENSG00000025800.14	KPNA6
58	CENPV	8.7308419136135e-06	8.7308419136135e-06	648	8	3.89016375972434	0.35	23.2972975072635	0.334067014501579	640.323628687058	TRUE	0.0362954121780879	TRUE	FALSE	Gaussian	TRUE	1.96930496073765	mgcv::gamm_arima(1,1,0)	1.18622031567409e-08	FALSE	648	FALSE	0.000261925257408405	ENSG00000166582.12	CENPV
59	POLR2J4	2.99007949329536e-05	2.99007949329536e-05	648	8	3.89016375972434	0.35	20.8352509830693	0.240895043550162	642.005345002223	TRUE	0.00707590171390485	TRUE	FALSE	Gaussian	TRUE	9.42803448883148	mgcv::gamm_arima(1,1,0)	0.00434709614508133	FALSE	648	FALSE	0.000867123053055655	ENSG00000290758.3	POLR2J4
60	PMEPA1	3.53669618429308e-05	3.53669618429308e-05	648	8	3.89016375972434	0.35	20.4994649097516	-0.0039054603156321	642.0133258364	TRUE	-0.0243216501302554	TRUE	FALSE	Gaussian	TRUE	7.35336766509826	mgcv::gamm_arima(1,1,0)	0.033409440279281	FALSE	648	FALSE	0.000990274931602062	ENSG00000124225.16	PMEPA1
61	NPY1R	6.54378182976992e-05	6.54378182976992e-05	648	8	3.89016375972434	0.35	19.2688204103943	0.322893369723831	640.362814429493	TRUE	-0.0392898596456734	TRUE	FALSE	Gaussian	TRUE	1.8897748997694	mgcv::gamm_arima(1,1,0)	5.06508384103252e-21	FALSE	648	FALSE	0.00176682109403788	ENSG00000164128.8	NPY1R
62	CYBB	8.93595259063704e-05	8.93595259063704e-05	648	8	3.89016375972434	0.35	18.6456854173039	0.193251343080193	642.01482960653	TRUE	-0.0571982871838577	TRUE	FALSE	Gaussian	TRUE	2.1924259903753	mgcv::gamm_arima(1,1,0)	3.35864915829633e-17	FALSE	648	FALSE	0.00232334767356563	ENSG00000165168.10	CYBB
63	RAP1GDS1	0.000134698027673487	0.000134698027673487	648	8	3.89016375972434	0.35	17.8249502340395	0.416419535811839	640.505249804159	TRUE	0.0701849503948136	TRUE	FALSE	Gaussian	TRUE	2.43875937006031	mgcv::gamm_arima(1,1,0)	5.35587193992219e-07	FALSE	648	FALSE	0.00336745069183717	ENSG00000138698.16	RAP1GDS1
64	NCF1C	0.000137333775536257	0.000137333775536257	648	8	3.89016375972434	0.35	17.7861925547277	0.105833404093761	642.164395078656	TRUE	0.110138077067398	TRUE	FALSE	Gaussian	TRUE	2.99360675374063	mgcv::gamm_arima(1,1,0)	5.30096431235509e-12	FALSE	648	FALSE	0.00336745069183717	ENSG00000296524.1	NCF1C
65	GGH	0.000139782161042154	0.000139782161042154	648	8	3.89016375972434	0.35	17.7508506794493	0.336752299816666	640.367872665385	TRUE	0.168190620115749	TRUE	FALSE	Gaussian	TRUE	6.03180182653258	mgcv::gamm_arima(1,1,0)	0.011217150958704	FALSE	648	FALSE	0.00336745069183717	ENSG00000137563.14	GGH
66	ENSG00000254706	0.000149293960429644	0.000149293960429644	648	8	3.89016375972434	0.35	17.6191866136369	0.125220833529374	640.846882704018	TRUE	-0.0713400476421639	TRUE	FALSE	Gaussian	TRUE	1.18634759730285	mgcv::gamm_arima(1,1,0)	7.25072491570982e-15	FALSE	648	FALSE	0.00336745069183717	ENSG00000254706.3	ENSG00000254706
67	LINC02362	0.000225389774960285	0.000225389774960285	648	8	3.89016375972434	0.35	16.7953586427229	-0.00553947606634897	641.555510193631	TRUE	-0.00686986729510555	TRUE	FALSE	Gaussian	TRUE	3.94672348627135	mgcv::gamm_arima(1,1,0)	0.00169053783859587	FALSE	648	FALSE	0.00473318527416598	ENSG00000249096.8	LINC02362
68	MCC	0.000670838550988876	0.000670838550988876	648	8	3.89016375972434	0.35	14.6139641189966	-0.00698965540708985	642.436581162335	TRUE	0.00734256740296911	TRUE	FALSE	Gaussian	TRUE	317230.865640624	mgcv::gamm_arima(1,1,0)	1.27292716437856e-19	FALSE	648	FALSE	0.0134167710197775	ENSG00000171444.19	MCC
69	EFNB2	0.00149110962888655	0.00149110962888655	648	8	3.89016375972434	0.35	13.0164694376313	0.00625637125613621	642.028343206851	TRUE	0.027011887586758	TRUE	FALSE	Gaussian	TRUE	87.1172380569061	mgcv::gamm_arima(1,1,0)	3.96223042204389e-20	FALSE	648	FALSE	0.0283310829488445	ENSG00000125266.9	EFNB2
