gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
17	MCOLN1	1.00187452905245e-33	1.00187452905245e-33	648	8	3.89016375972434	0.35	151.966870588976	0.0230448851977845	640.150243452372	TRUE	-0.156544330756497	TRUE	FALSE	Gaussian	TRUE	2.24445835719528	mgcv::gamm_arima(1,1,0)	3.62037713883917e-09	FALSE	648	FALSE	7.11330915627237e-32	ENSG00000090674.17	MCOLN1
18	EXOC1	1.08730566397203e-31	1.08730566397203e-31	648	8	3.89016375972434	0.35	142.592870229199	0.0607369218164312	640.123126001202	TRUE	0.10030287970051	TRUE	FALSE	Gaussian	TRUE	4.68479758281286	mgcv::gamm_arima(1,1,0)	8.09765198734917e-15	FALSE	648	FALSE	7.61113964780419e-30	ENSG00000090989.19	EXOC1
19	FAM114A2	3.0136240630938e-31	3.0136240630938e-31	648	8	3.89016375972434	0.35	140.553989041236	0.492055713890047	640.126360719301	TRUE	-0.062437394813847	TRUE	FALSE	Gaussian	TRUE	3.08486491025358	mgcv::gamm_arima(1,1,0)	0.0254012973351936	FALSE	648	FALSE	2.07940060353472e-29	ENSG00000055147.20	FAM114A2
20	GLB1L2	1.91206179878733e-30	1.91206179878733e-30	648	8	3.89016375972434	0.35	136.858741308346	0.0922010192269311	640.18143949625	TRUE	0.166064231903974	TRUE	FALSE	Gaussian	TRUE	3.17359582410805	mgcv::gamm_arima(1,1,0)	2.81967763400447e-06	FALSE	648	FALSE	1.30020202317539e-28	ENSG00000149328.17	GLB1L2
21	ETFRF1	4.34974809469795e-28	4.34974809469795e-28	648	8	3.89016375972434	0.35	126.004529339349	0.161589318712296	640.256727794597	TRUE	-0.136586272882396	TRUE	FALSE	Gaussian	FALSE	3.70452942046745	mgcv::gamm_arima(1,1,0)	1.57969325282227e-10	FALSE	648	FALSE	2.91433122344762e-26	ENSG00000205707.12	ETFRF1
22	SLC25A16	6.08233734974762e-26	6.08233734974762e-26	648	8	3.89016375972434	0.35	116.123646726436	0.170692364758547	640.306066282598	TRUE	0.0924039879653006	TRUE	FALSE	Gaussian	FALSE	8.09192724341799	mgcv::gamm_arima(1,1,0)	4.34357249869374e-07	FALSE	648	FALSE	4.01434265083343e-24	ENSG00000122912.16	SLC25A16
23	SPNS2	1.01346899375841e-25	1.01346899375841e-25	648	8	3.89016375972434	0.35	115.102496463284	6.90840973049944e-06	640.251824592344	TRUE	0.205908631852978	TRUE	FALSE	Gaussian	TRUE	2.63365750575993	mgcv::gamm_arima(1,1,0)	7.20631832784225e-10	FALSE	648	FALSE	6.58754845942969e-24	ENSG00000183018.10	SPNS2
24	RAP1GDS1	9.42930006790656e-24	9.42930006790656e-24	648	8	3.89016375972434	0.35	106.036440723885	0.375380374227862	640.918142878355	TRUE	0.0985903405518684	TRUE	FALSE	Gaussian	TRUE	4.77656137655802	mgcv::gamm_arima(1,1,0)	1.61587549998277e-10	FALSE	648	FALSE	6.0347520434602e-22	ENSG00000138698.16	RAP1GDS1
25	SYNM	8.57463115124786e-23	8.57463115124786e-23	648	8	3.89016375972434	0.35	101.621298322336	0.233173075864624	640.540683857153	TRUE	0.0122433774908793	TRUE	FALSE	Gaussian	FALSE	1.03597328414639	mgcv::gamm_arima(1,1,0)	1.17614543165759e-12	FALSE	648	FALSE	5.40201762528615e-21	ENSG00000182253.15	SYNM
26	TLN2	6.65426936524726e-19	6.65426936524726e-19	648	8	3.89016375972434	0.35	83.7077162168152	0.313501636380404	642.121452105301	TRUE	-0.0766465895222745	TRUE	FALSE	Gaussian	TRUE	8.148631652403	mgcv::gamm_arima(1,1,0)	0.0228339563813954	FALSE	648	FALSE	4.1256470064533e-17	ENSG00000171914.18	TLN2
27	CYP2W1	1.11694333843487e-17	1.11694333843487e-17	648	8	3.89016375972434	0.35	78.0667015773124	0.576287868385043	640.399327865808	TRUE	0.205493003075323	TRUE	FALSE	Gaussian	TRUE	3.1028669412686	mgcv::gamm_arima(1,1,0)	1.4948475055456e-17	FALSE	648	FALSE	6.81335436445272e-16	ENSG00000073067.14	CYP2W1
28	NPY1R	1.13796317473262e-16	1.13796317473262e-16	648	8	3.89016375972434	0.35	73.4242430247232	0.242291579767776	640.265429135575	TRUE	-0.0997621420283725	TRUE	FALSE	Gaussian	TRUE	1.57471619162645	mgcv::gamm_arima(1,1,0)	6.62611833758333e-16	FALSE	648	FALSE	6.82777904839573e-15	ENSG00000164128.8	NPY1R
29	ZNF714	1.18103812965533e-16	1.18103812965533e-16	648	8	3.89016375972434	0.35	73.3499353306088	0.502488310102292	640.25890221059	TRUE	-0.0734352505680462	TRUE	FALSE	Gaussian	TRUE	2.70629733125613	mgcv::gamm_arima(1,1,0)	3.09003483769648e-17	FALSE	648	FALSE	6.96812496496645e-15	ENSG00000160352.17	ZNF714
30	SPICE1	3.68040032125087e-16	3.68040032125087e-16	648	8	3.89016375972434	0.35	71.0766799173834	0.150890003081978	640.346320075705	TRUE	-0.0704370877798516	TRUE	FALSE	Gaussian	TRUE	8.81054597500894	mgcv::gamm_arima(1,1,0)	0.00506344073301332	FALSE	648	FALSE	2.1346321863255e-14	ENSG00000163611.12	SPICE1
31	USP38	4.03969517677303e-16	4.03969517677303e-16	648	8	3.89016375972434	0.35	70.8903845001441	0.0340269342481808	640.20767550802	TRUE	0.0193404030771732	TRUE	FALSE	Gaussian	TRUE	6.0948603553132	mgcv::gamm_arima(1,1,0)	4.09741099434283e-06	FALSE	648	FALSE	2.30262625076063e-14	ENSG00000170185.13	USP38
32	DUOXA2	4.19981528402077e-16	4.19981528402077e-16	566	8	3.89577754472422	0.35	70.8126418871552	0.01696720636214	560.203452202797	TRUE	0.0239088654063354	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	1.44309943380191e-09	FALSE	566	FALSE	2.35189655905163e-14	ENSG00000140274.15	DUOXA2
