gene	gene_name	n_transcripts	max_delta_influence	n_switching_transcripts	n_fdr_significant	q_value
ENSG00000154096.15	THY1	3	0.0918036007953905	0	0	1
ENSG00000149328.17	GLB1L2	3	0.0389702912166247	0	0	1
ENSG00000247092.10	SNHG10	4	0.0544093571271396	0	0	1
ENSG00000068305.20	MEF2A	5	0.0598278460602935	3	1	1
ENSG00000274322.1	ENSG00000274322	2	0.0929936619896508	0	0	1
ENSG00000128274.18	A4GALT	4	0.0921666738892003	0	0	1
ENSG00000122912.16	SLC25A16	6	0.0426223551335726	1	0	1.5
ENSG00000153560.13	UBP1	4	0.0181167057517157	1	0	1.5
ENSG00000166582.12	CENPV	5	0.01949594473368	1	0	1.5
ENSG00000073067.14	CYP2W1	2	0.38074626672227	0	0	1.5
ENSG00000071243.17	ING3	6	0.0527803254346324	3	0	1.5
ENSG00000181061.15	HIGD1A	3	0.124934669406134	0	0	1.5
ENSG00000140274.15	DUOXA2	2	0.385516567603988	1	1	1.5
ENSG00000170271.12	FAXDC2	5	0.139075406429662	1	0	1.5
ENSG00000131652.15	THOC6	3	0.0345535411112232	0	0	1.5
ENSG00000182253.15	SYNM	2	0.0658368164369191	0	0	1.5
ENSG00000182934.13	SRPRA	3	0.0220489555674396	0	0	1.5
ENSG00000138698.16	RAP1GDS1	8	0.054428569018651	1	1	1.5
ENSG00000028116.19	VRK2	5	0.0239447423695463	2	0	1.5
ENSG00000107562.18	CXCL12	3	0.12334407935359	0	0	1.5
ENSG00000090989.19	EXOC1	5	0.069284131132936	1	0	1.5
ENSG00000174606.15	ANGEL2	7	0.0329291505122208	2	0	1.5
ENSG00000163444.13	TMEM183A	7	0.0504253095316236	2	0	1.5
ENSG00000196591.13	HDAC2	6	0.0972846242003439	2	0	1.5
ENSG00000057663.17	ATG5	5	0.0315215909503477	1	0	1.5
ENSG00000126456.17	IRF3	5	0.0536296972442375	2	1	1.5
ENSG00000204991.12	SPIRE2	6	0.0178652913127171	1	0	1.5
ENSG00000169093.17	ASMTL	2	0.0406423359592991	1	0	1.5
ENSG00000205707.12	ETFRF1	3	0.0689119589297466	0	0	1.5
ENSG00000100744.16	GSKIP	3	0.175461876615237	1	0	1.5
ENSG00000138035.16	PNPT1	5	0.113156395011786	2	1	1.5
