	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
61	NCF1C	0.302948839632297	0.302948839632297	648	8	648	NA	0.227174316684881	0.0462517375892453	643.999999996333	TRUE	0.0641089814669864	TRUE	FALSE	Gaussian	TRUE	1.33287486914973	mgcv::gamm_arima(1,1,0)	4.52838090226717e-14	FALSE	648	FALSE	1	ENSG00000296524.1	NCF1C
62	ZFP90	0.338686040174254	0.338686040174254	648	8	648	NA	0.0105218118309889	0.112473201985723	643.999999925558	TRUE	-0.013796995642479	TRUE	FALSE	Gaussian	FALSE	1.93079212587798	mgcv::gamm_arima(1,1,0)	1.36490946602442e-05	FALSE	648	FALSE	1	ENSG00000184939.16	ZFP90
63	ENSG00000254706	0.390787546524969	0.390787546524969	648	8	648	NA	0.151992320075323	0.137161218198505	643.999999996071	TRUE	-0.0524384787167387	TRUE	FALSE	Gaussian	TRUE	1.16304982670951	mgcv::gamm_arima(1,1,0)	1.69941394370272e-14	FALSE	648	FALSE	1	ENSG00000254706.3	ENSG00000254706
64	PBX2	0.564011123400777	0.564011123400777	648	8	648	NA	0.0129286526627332	0.00816403923875069	643.999999989598	TRUE	0.0152938172204451	TRUE	FALSE	Gaussian	TRUE	1.98264730827658	mgcv::gamm_arima(1,1,0)	1.47073281391935e-06	FALSE	648	FALSE	1	ENSG00000204304.12	PBX2
65	IFIT3	0.629493767676346	0.629493767676346	648	8	648	NA	0.0475064497249207	0.00455335239184528	643.999999996362	TRUE	-0.0293167315243525	TRUE	FALSE	Gaussian	TRUE	1.20970529480952	mgcv::gamm_arima(1,1,0)	3.90692171849454e-19	FALSE	648	FALSE	1	ENSG00000119917.15	IFIT3
66	DNAJC24	0.661472977322429	0.661472977322429	648	8	648	NA	0.0026336193416352	0.263032045912955	643.908216256477	TRUE	-0.00398403528649266	TRUE	FALSE	Gaussian	TRUE	4.40264473397375	mgcv::gamm_arima(1,1,0)	2.2098862294611e-13	FALSE	648	FALSE	1	ENSG00000170946.16	DNAJC24
67	LINC02362	0.681111974649414	0.681111974649414	648	8	648	NA	0.00281216316790278	0.0730508020920706	643.999999963829	TRUE	-0.00713279083381948	TRUE	FALSE	Gaussian	TRUE	8.54664992354413	mgcv::gamm_arima(1,1,0)	5.33471776148804e-07	FALSE	648	FALSE	1	ENSG00000249096.8	LINC02362
68	FOXJ2	0.681427225557771	0.681427225557771	648	8	648	NA	0.0155629752697095	0.29974773722923	643.999999989998	TRUE	-0.0167797534482591	TRUE	FALSE	Gaussian	TRUE	1.47358513169207	mgcv::gamm_arima(1,1,0)	6.32557519154962e-05	FALSE	648	FALSE	1	ENSG00000065970.10	FOXJ2
69	PMEPA1	0.69181350670526	0.69181350670526	648	8	648	NA	0.0123391251119784	0.00547815430641843	643.999999989955	TRUE	0.0149410612438815	TRUE	FALSE	Gaussian	TRUE	1285.8993339526	mgcv::gamm_arima(1,1,0)	1.36529079110908e-16	FALSE	648	FALSE	1	ENSG00000124225.16	PMEPA1
70	FBXO3	0.718893350408289	0.718893350408289	648	8	648	NA	0.00126137677382143	0.00920927867247169	643.99999991229	TRUE	0.00477707011921859	TRUE	FALSE	Gaussian	TRUE	11.3462461008383	mgcv::gamm_arima(1,1,0)	4.36870115114621e-19	FALSE	648	FALSE	1	ENSG00000110429.15	FBXO3
71	PICALM	0.743658624765799	0.743658624765799	648	8	648	NA	0.000603936055993515	0.00212100294474301	643.999999916261	TRUE	-0.00330548130758564	TRUE	FALSE	Gaussian	TRUE	5.3524512306768	mgcv::gamm_arima(1,1,0)	2.15280145889839e-13	FALSE	648	FALSE	1	ENSG00000073921.19	PICALM
72	MCC	0.913204629194035	0.913204629194035	648	8	648	NA	0.000511124039356048	0.0160407194681299	643.999999989701	TRUE	-0.00304090208072987	TRUE	FALSE	Gaussian	TRUE	405.218700467789	mgcv::gamm_arima(1,1,0)	3.27110741822904e-09	FALSE	648	FALSE	1	ENSG00000171444.19	MCC
73	GIPR	0.915202048263044	0.915202048263044	566	8	566	NA	0.000615791511666686	0.0757748426438099	561.999999989952	TRUE	0.00359565094692631	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	5.43723027553854e-21	FALSE	566	FALSE	1	ENSG00000010310.10	GIPR
74	ENSG00000291072	0.918682640447713	0.918682640447713	648	8	648	NA	0.000118892626476352	0.00111088052777849	643.999999968778	TRUE	-0.00146661690420273	TRUE	FALSE	Gaussian	TRUE	1.93923658655113	mgcv::gamm_arima(1,1,0)	2.55748020055821e-11	FALSE	648	FALSE	1	ENSG00000291072.2	ENSG00000291072
75	RELCH	0.955210826846255	0.955210826846255	648	8	648	NA	3.13037007106942e-05	0.00149094849844521	643.999999926213	TRUE	0.000752553182431042	TRUE	FALSE	Gaussian	TRUE	8.99917438981085	mgcv::gamm_arima(1,1,0)	2.95070279606214e-09	FALSE	648	FALSE	1	ENSG00000134444.16	RELCH
76	SLC9A7	0.964603816479356	0.964603816479356	648	8	648	NA	0.000379819542501991	0.00778051372146957	643.999999996176	TRUE	-0.00262136736727083	TRUE	FALSE	Gaussian	TRUE	1.85555023717839	mgcv::gamm_arima(1,1,0)	1.72624099922954e-05	FALSE	648	FALSE	1	ENSG00000065923.11	SLC9A7
