q	central	spread	count
0	1	0.2	1207
0.05	0.959566421439398	0.194553223506247	1207
0.1	0.922462320221558	0.192502066967423	1207
0.15	0.887637685836132	0.20125891829333	1207
0.2	0.861103289527072	0.201639448482575	1207
0.25	0.84055320303548	0.212175370521173	1207
0.3	0.82919237066154	0.225266137408952	1207
0.35	0.820841877121809	0.237461689264173	1207
0.4	0.810183919393835	0.251476612042841	1207
0.45	0.800069713231137	0.254625106796279	1207
0.5	0.793139352031455	0.264670937372802	1207
0.55	0.787135132083331	0.275280462293771	1207
0.6	0.779270529623608	0.278481720949742	1207
0.65	0.775699057114669	0.285053829429635	1207
0.7	0.769597147741196	0.291833970852248	1207
0.75	0.765100743985019	0.295898749136129	1207
0.8	0.760852217893197	0.302331641252423	1207
0.85	0.759658308413027	0.308683284095363	1207
0.9	0.757156304795303	0.315098835228484	1207
0.95	0.755305001075397	0.321343248930748	1207
1	0.753939030079159	0.327640226958906	1207
1.05	0.754508821285746	0.330926649835428	1207
1.1	0.755065049899131	0.335298701994132	1207
1.15	0.755355717802271	0.338773859061745	1207
1.2	0.757057285410033	0.34498320988315	1207
1.25	0.759026564920127	0.35021073102503	1207
1.3	0.760399220332505	0.35317916007416	1207
1.35	0.761598251824251	0.356033045066635	1207
1.4	0.763177280388109	0.360628833182878	1207
1.45	0.765600354378879	0.36532000295862	1207
1.5	0.770025078639375	0.367070491451801	1207
1.55	0.772245078167569	0.369043556443076	1207
1.6	0.773092302089048	0.370049754056248	1207
1.65	0.776677440775973	0.371475259462779	1207
1.7	0.779196963114202	0.37154337354777	1207
1.75	0.782953436533604	0.371440832546962	1207
1.8	0.787499834071484	0.37357722692722	1207
1.85	0.790592159366095	0.376466864378091	1207
1.9	0.793010322797889	0.380627585314874	1207
1.95	0.796173221035931	0.38281647326465	1207
2	0.79929846066844	0.385296620507575	1207
