	Sample	Condition	Proportion_Affected	Genes_Affected	Robustness_Weight	Entropy_Mean	Entropy_SD	Distance_from_Centroid	Status	Pair_ID
1	SRR14800481	normal	0.847222222222222	64.3888888888889	1	0.693632527921505	0.236404079307515	1.79299104140438	OK	A
2	SRR14800480	normal	0.805555555555556	61.2222222222222	1	0.734540951874504	0.197207466899711	1.23840554624978	OK	B
3	SRR14800477	normal	0.833333333333333	63.3333333333333	1	0.689562025763254	0.28516461668623	1.5808527461052	OK	C
4	SRR14800476	normal	0.888888888888889	67.5555555555556	1	0.73104360153316	0.232880882792094	0.911811601234439	OK	D
5	SRR14800475	normal	0.861111111111111	65.4444444444444	1	0.677381598456924	0.243522521775916	1.67960129094617	OK	E
6	SRR14800490	normal	0.849315068493151	64.5479452054795	1	0.684269938209253	0.235748070976868	1.35216478417466	OK	F
7	SRR14800489	normal	0.875	66.5	1	0.733915126325923	0.242553695113882	1.0969266073018	OK	G
8	SRR14800488	normal	0.861111111111111	65.4444444444444	1	0.673781980090814	0.264934918343684	1.65362614421291	OK	H
9	SRR14800479	tumor	0.861111111111111	65.4444444444444	1	0.684182451794435	0.272123998097027	2.21136967186463	OK	A
10	SRR14800478	tumor	0.902777777777778	68.6111111111111	1	0.734464022930439	0.244034885902629	1.57206543457933	Flag for QC	B
11	SRR14800487	tumor	0.861111111111111	65.4444444444444	1	0.725699407818626	0.219275046587638	1.22006031162742	OK	C
12	SRR14800486	tumor	0.902777777777778	68.6111111111111	1	0.720685136773198	0.249690603624271	1.47984916977532	Flag for QC	D
13	SRR14800485	tumor	0.861111111111111	65.4444444444444	1	0.733416810970206	0.213111588990899	1.41399987635203	OK	E
14	SRR14800484	tumor	0.888888888888889	67.5555555555556	1	0.738188421010897	0.209471794715151	1.14988269283598	OK	F
15	SRR14800483	tumor	0.861111111111111	65.4444444444444	1	0.74252844860212	0.228304528320881	1.6019806043457	OK	G
16	SRR14800482	tumor	0.916666666666667	69.6666666666667	1	0.718606512838467	0.244566962382183	1.67107153977374	Flag for QC	H
